x0005,y0005
356,11705897.49,
357,11705506.82,
358,11705954.13,
359,11706085.25,
360,11707291.04,
361,11706475.46,
362,11706487.67,
363,11706516.56,
364,11706431.06,
365,11706171.52,
366,11706196.61,
367,11705723.43,
368,11706164.94,
369,11703633.72,
370,11706011.45,
371,11705664.51,
372,11706121.71,
373,11707780.59,
374,11705854.15,
375,11708508.83,
376,11707243.73,
377,11706986.09,
378,11707034.62,
379,11707469.59,
380,11707615.56,
381,11707998.89,
382,11708343.94,
383,11708182.71,
384,11708965.47,
385,11707553.08,
386,11706920.68,
387,11708211.41,
388,11707406.93,
389,11706856.76,
390,11707162.13,
391,11706888.06,
392,11708576.63,
393,11709911.61,
394,11708169.51,
395,11709559.86,
396,11710219.88,
397,11710236.95,
398,11711343.71,
399,11711221.38,
400,11713110.19,
401,11713872.94,
402,11713040.16,
403,11714839.09,
404,11715153.69,
405,11716237.01,
406,11713900.43,
407,11717816.68,
408,11717644.51,
409,11719184.59,
410,11719614.15,
411,11719158.16,
412,11720842.21,
413,11723049.43,
414,11724705.35,
415,11724535.35,
416,11725845.82,
417,11726790.68,
418,11729949.44,
419,11730023.89,
420,11729345.64,
421,11730955.56,
422,11731860.37,
423,11733865.78,
424,11733531.45,
425,11736353.72,
426,11735753.57,
427,11736590.49,
428,11738329.51,
429,11737605.8,
430,11740336.15,
431,11740172.32,
432,11742071.32,
433,11742148.27,
434,11744017.22,
435,11744274.05,
436,11744576.53,
437,11745629.82,
438,11745233,
439,11743142.58,
440,11742917.73,
441,11744587.61,
442,11747433.97,
443,11745002.83,
444,11745139.34,
445,11744293.11,
446,11744648.5,
447,11744271.58,
448,11744797.6,
449,11744059.13,
450,11745332.85,
451,11747018.79,
452,11745037.15,
453,11745430.32,
454,11745350.91,
455,11743559.77,
456,11745965.58,
457,11745730.18,
458,11745041.49,
459,11742837.02,
460,11743451.46,
461,11742601.82,
462,11742650.35,
463,11742401.64,
464,11741335.51,
465,11742150.2,
466,11742420.95,
467,11742220.52,
468,11740879.39,
469,11743783.29,
470,11743653.12,
471,11741989.92,
472,11740548.97,
473,11742282.71,
474,11742945.04,
475,11742981.92,
476,11741631.77,
477,11740491.49,
478,11741184.44,
479,11740336.25,
480,11738494.25,
481,11740199.03,
482,11739906.29,
483,11740999.75,
484,11740647.32,
485,11739384.45,
486,11739985.77,
487,11740566.24,
488,11738999.34,
489,11739110.01,
490,11739363.88,
491,11740761.1,
492,11738658.85,
493,11739956.11,
494,11739180.99,
495,11739205.12,
496,11739070.04,
497,11739897.54,
498,11738483.4,
499,11738447.21,
500,11735567.96,
501,11738821.46,
502,11737746.65,
503,11736581.67,
504,11736690.96,
505,11738833.1,
506,11738655.91,
507,11738288.15,
508,11737946.74,
509,11738147.13,
510,11737918.35,
511,11736089.46,
512,11737209.53,
513,11736842.25,
514,11737253.13,
515,11734991.25,
516,11735832.55,
517,11735537.98,
518,11734784.65,
519,11736193.99,
520,11735241.65,
521,11732820.94,
522,11732874.61,
523,11733419.47,
524,11735891.19,
525,11735649.8,
526,11733827.76,
