start,end,ori,sf,tf,contrast
114477,114567,0,0.16,15,0.8
131595,131685,0,0.16,15,0.8
140755,140845,0,0.16,15,0.8
155470,155560,0,0.16,15,0.8
219887,219977,0,0.16,15,0.8
228896,228986,0,0.16,15,0.8
659,749,0,0.32,1,0.8
29339,29429,0,0.32,1,0.8
30240,30330,0,0.32,1,0.8
44354,44444,0,0.32,1,0.8
76338,76428,0,0.32,1,0.8
96308,96399,0,0.32,1,0.8
148413,148503,0,0.32,1,0.8
226494,226584,0,0.32,1,0.8
9068,9158,0,0.32,2,0.8
40150,40240,0,0.32,2,0.8
60121,60211,0,0.32,2,0.8
118532,118622,0,0.32,2,0.8
133247,133337,0,0.32,2,0.8
138953,139043,0,0.32,2,0.8
208175,208265,0,0.32,2,0.8
211028,211118,0,0.32,2,0.8
21531,21621,0,0.32,4,0.8
21681,21771,0,0.32,4,0.8
70932,71022,0,0.32,4,0.8
81293,81383,0,0.32,4,0.8
100963,101053,0,0.32,4,0.8
104117,104207,0,0.32,4,0.8
196312,196403,0,0.32,4,0.8
238356,238446,0,0.32,4,0.8
27987,28077,0,0.32,8,0.8
47808,47898,0,0.32,8,0.8
118682,118772,0,0.32,8,0.8
138202,138292,0,0.32,8,0.8
151866,151956,0,0.32,8,0.8
180096,180186,0,0.32,8,0.8
215232,215322,0,0.32,8,0.8
236104,236194,0,0.32,8,0.8
30390,30480,0,0.32,15,0.8
53063,53154,0,0.32,15,0.8
68079,68169,0,0.32,15,0.8
120634,120724,0,0.32,15,0.8
144358,144449,0,0.32,15,0.8
182949,183039,0,0.32,15,0.8
223491,223581,0,0.32,15,0.8
225893,225983,0,0.32,15,0.8
3662,3752,45,0.02,1,0.8
23483,23573,45,0.02,1,0.8
30690,30780,45,0.02,1,0.8
32792,32882,45,0.02,1,0.8
33843,33934,45,0.02,1,0.8
96909,96999,45,0.02,1,0.8
215833,215923,45,0.02,1,0.8
233551,233641,45,0.02,1,0.8
97960,98050,45,0.02,2,0.8
110123,110213,45,0.02,2,0.8
164479,164569,45,0.02,2,0.8
